node,indegree,outdegree,kcore
606,3,1,3
863,3,1,4
979,2,1,3
1173,0,3,2
1210,5,3,5
1531,1,1,2
1700,2,2,4
1858,0,1,1
2299,1,1,2
2486,1,0,1
2558,1,1,2
2755,0,1,1
2842,0,1,1
2948,2,4,4
3205,0,5,4
3464,1,1,2
3894,2,0,2
4070,3,1,2
4179,7,5,8
4360,0,2,1
4818,1,2,2
5084,0,2,2
5327,3,3,4
5395,1,0,1
5897,1,0,1
6425,3,0,3
7190,0,1,1
7203,2,2,4
7451,2,2,3
8263,1,0,1
8415,0,2,1
8426,1,0,1
8430,2,2,1
8704,1,0,1
8850,7,11,9
8974,1,0,1
9092,3,2,3
9241,1,2,1
9645,1,0,1
9696,4,3,4
10143,9,6,7
10331,0,1,1
10571,1,0,1
10907,1,0,1
10923,1,0,1
10938,2,1,3
10957,2,1,3
10979,0,8,4
11134,1,0,1
11200,0,1,1
11406,1,0,1
11801,0,1,1
12275,2,4,5
12743,2,5,5
13164,1,0,1
13281,5,4,5
13351,3,6,6
13432,0,3,3
13463,0,2,2
13507,2,0,2
13547,0,5,4
13588,0,1,1
13639,1,1,2
13731,1,1,2
13751,31,14,13
14001,4,4,6
14094,2,2,4
14140,2,1,3
15011,0,1,1
15071,2,0,1
15141,0,1,1
15362,1,1,2
15516,1,1,2
15609,0,2,1
15691,4,3,4
15992,1,0,1
16017,0,1,1
16353,2,2,4
16416,1,0,1
16668,4,0,2
16816,5,3,4
16990,2,5,5
17006,1,0,1
17171,0,1,1
17224,2,3,3
17271,0,1,1
17664,6,4,6
17677,1,1,2
17959,1,1,2
18027,2,2,2
18057,2,2,4
18152,0,2,2
18447,0,3,3
18463,2,0,1
18669,1,5,4
18757,2,2,4
19154,1,0,1
19984,0,2,2
20039,0,4,2
20076,0,1,1
20252,1,2,2
20260,2,5,3
20786,2,2,4
21141,1,1,2
21568,1,3,2
21812,2,2,4
21886,2,2,4
21946,0,1,1
22019,1,2,3
22043,1,1,2
22104,1,1,2
22381,5,4,7
22385,2,1,2
22438,1,0,1
22548,0,1,1
22768,2,0,2
22839,1,1,2
22845,14,10,11
22929,1,1,2
23156,1,1,2
23188,9,7,8
23298,0,1,1
23705,8,0,8
23895,0,1,1
24170,0,2,1
24175,2,0,2
24194,0,1,1
24591,0,1,1
24613,2,2,4
24648,0,1,1
24676,2,5,5
24872,0,1,1
24895,2,2,4
25103,0,1,1
25296,3,2,4
25699,0,3,2
25808,1,2,3
26072,1,0,1
26078,1,2,3
26124,1,1,1
26154,2,0,2
26827,1,0,1
27005,1,1,2
27271,7,12,12
27626,7,0,7
27781,31,11,13
27807,3,5,5
27819,1,3,2
28026,0,1,1
28265,3,2,5
28521,3,2,3
28755,2,2,3
28762,2,2,3
28817,1,1,2
29060,2,2,3
29211,1,0,1
29460,32,11,13
29528,0,1,1
29533,1,0,1
30086,1,1,1
30444,1,0,1
30582,3,0,3
30767,10,6,6
30957,0,2,2
31093,0,1,1
31251,0,1,1
31264,1,0,1
31332,1,0,1
31520,2,1,2
31826,2,2,3
31937,2,0,2
31943,1,1,1
32006,4,4,5
32354,0,1,1
32500,0,1,1
32626,3,0,3
32647,0,2,2
32674,3,1,3
32679,0,1,1
32683,3,3,6
32706,2,2,4
32912,2,2,4
33102,0,2,2
33131,5,4,6
33225,3,5,3
33270,4,10,7
33605,51,25,22
33614,1,0,1
33728,10,4,8
33914,2,2,4
33932,1,0,1
34019,5,1,5
34052,4,4,4
34334,1,0,1
34462,1,1,2
34776,2,0,2
34814,4,5,5
35149,3,5,6
35238,2,3,4
35495,0,2,2
35599,4,3,5
35633,1,4,5
35678,0,1,1
35679,0,1,1
36000,1,1,2
36208,3,0,3
36260,1,0,1
36337,19,8,9
36901,1,1,2
36945,1,0,1
36953,1,1,2
37216,3,2,4
37601,0,1,1
37708,1,0,1
37790,0,2,1
37907,8,4,4
38196,1,1,1
38417,0,1,1
38490,3,2,4
38867,2,0,1
39047,5,5,7
39168,5,1,3
39191,2,1,3
39756,4,5,7
40113,2,0,2
40378,2,2,4
40495,1,2,3
40518,3,1,3
40640,2,0,2
40968,0,5,4
41107,1,0,1
41747,0,1,1
41854,2,1,3
41864,1,0,1
41887,1,1,2
42133,1,0,1
42181,2,3,2
42345,0,2,2
42521,2,8,5
42628,2,2,4
42643,2,3,3
42645,40,14,13
42679,1,1,2
42836,0,2,2
43133,0,2,2
43200,4,5,5
43244,2,1,2
43301,1,0,1
43484,1,2,3
43636,12,8,9
44978,2,0,2
45169,1,0,1
45184,0,1,1
45280,1,0,1
45483,1,0,1
46545,18,15,9
46574,8,5,6
46698,0,1,1
46793,2,4,5
47116,7,2,8
47185,7,8,7
47388,0,2,2
47423,0,3,2
47473,0,1,1
47575,1,1,2
47608,0,4,4
48044,2,1,2
48087,2,1,2
48169,2,1,2
48170,1,0,1
48368,2,2,3
48522,1,1,2
48599,9,26,11
48625,1,1,2
49128,0,2,2
49174,10,13,12
49252,4,6,7
49369,1,0,1
49645,0,1,1
49678,0,1,1
49732,1,2,2
49794,1,1,2
49933,0,1,1
