node,indegree,outdegree,kcore
13751,0,1,1
27781,2,2,3
29460,1,0,1
33605,0,5,1
73844,1,0,1
76700,0,2,2
81474,1,0,1
82497,2,0,2
101711,2,6,3
168402,5,0,1
193583,0,2,2
204249,0,2,1
216297,0,2,2
230202,0,2,1
242804,1,0,1
246370,1,2,2
271544,2,1,2
290017,1,0,1
304843,1,2,2
312393,1,1,2
339892,1,0,1
360229,1,0,1
363039,1,0,1
379452,1,0,1
384846,2,0,2
386827,1,1,1
389395,0,6,2
414148,0,1,1
420036,1,0,1
421871,0,2,1
438519,1,0,1
448646,2,1,3
479851,2,1,1
517553,4,2,3
528177,2,2,3
531413,1,2,1
535212,1,0,1
554382,3,0,1
577982,0,0,0
604828,4,0,2
608311,1,0,1
628248,2,2,3
633963,1,1,2
647703,0,3,2
651613,2,2,2
679966,2,1,2
683124,0,1,1
693828,3,3,3
721174,1,2,2
725953,1,0,1
771352,1,0,1
786492,1,0,1
803946,0,2,1
842911,1,1,2
843335,2,0,1
849987,2,2,3
852485,1,1,2
852717,2,1,2
856897,0,1,1
879246,3,0,2
894679,0,1,1
927440,1,0,1
943967,0,2,2
968678,0,1,1
976337,0,1,1
1000371,0,1,1
1016571,2,1,2
1016615,2,1,2
1062222,0,1,1
1068040,0,0,0
1089707,2,2,3
1143861,0,1,1
1149283,2,2,2
1165523,2,1,2
