node,indegree,outdegree,kcore
65,3,5,4
144,1,3,3
183,3,6,5
248,0,2,2
259,1,1,2
272,0,2,2
444,2,1,3
483,1,0,1
548,1,2,2
606,5,2,5
664,1,2,3
709,0,1,1
711,0,1,1
713,1,1,2
740,0,3,2
794,0,1,1
848,1,2,2
853,1,0,1
863,3,1,4
880,1,1,2
889,0,1,1
979,4,7,7
982,0,1,1
991,2,4,3
999,0,2,1
1009,1,0,1
1019,1,3,3
1050,0,1,1
1057,3,3,6
1173,1,1,2
1210,18,14,12
1385,0,1,1
1531,2,1,2
1583,6,2,6
1635,1,1,2
1691,7,8,8
1700,2,2,4
1729,6,9,9
1832,2,5,6
1841,1,0,1
1858,0,1,1
1867,0,1,1
2048,3,0,2
2061,1,1,2
2080,1,0,1
2091,1,0,1
2102,2,2,3
2115,1,2,3
2256,3,0,2
2296,0,1,1
2299,5,1,3
2374,1,0,1
2398,0,1,1
2407,0,1,1
2486,4,6,6
2558,1,1,2
2594,0,0,0
2646,3,0,2
2755,0,3,3
2765,5,5,6
2842,0,1,1
2855,4,5,6
2873,1,0,1
2878,1,7,8
2948,9,5,9
3104,0,2,2
3205,1,9,9
3215,2,1,3
3246,1,0,1
3307,2,2,4
3375,0,1,1
3436,2,0,2
3464,1,2,3
3542,3,4,6
3638,1,0,1
3854,0,1,1
3894,2,3,5
3961,1,0,1
4024,1,1,2
4049,1,2,3
4070,6,2,3
4095,4,1,4
4179,15,9,16
4285,0,3,2
4306,6,2,4
4360,4,5,6
4361,6,1,6
4388,1,1,2
4635,2,1,3
4712,0,2,2
4736,1,1,2
4806,1,0,1
4818,5,3,5
4880,0,4,4
4907,0,1,1
5018,1,3,4
5084,0,2,2
5245,2,7,8
5327,9,6,7
5395,3,8,8
5423,0,1,1
5445,0,1,1
5490,2,3,4
5503,0,2,2
5512,1,2,2
5629,1,0,1
5677,2,3,5
5769,1,0,1
5783,1,2,2
5824,1,0,1
5896,1,0,1
5897,3,8,7
5902,1,1,2
5908,1,1,1
6037,5,5,6
6153,2,4,5
6160,1,1,2
6191,0,1,1
6370,0,2,1
6375,3,2,4
6425,6,3,6
6561,0,1,1
6647,4,4,5
6658,1,4,4
6674,4,4,6
6677,1,1,2
6890,1,0,1
6893,14,5,7
7142,2,0,2
7176,0,3,3
7190,4,5,7
7203,5,3,7
7213,0,2,2
7231,2,0,2
7333,1,1,2
7345,2,1,3
7451,2,4,5
7470,0,1,1
7525,1,0,1
7600,0,2,2
7675,2,2,3
7690,0,2,1
7715,0,1,1
7792,0,3,3
7963,3,1,3
8001,2,0,1
8027,2,1,3
8193,0,1,1
8263,3,0,1
8415,2,4,5
8426,3,3,6
8430,3,3,3
8465,1,3,3
8517,0,1,1
8529,3,9,7
8550,0,1,1
8651,1,2,3
8678,1,5,3
8683,1,0,1
8704,1,5,4
8812,2,1,2
8822,0,2,2
8850,18,14,14
8867,0,1,1
8915,1,2,3
8955,0,4,3
8975,1,1,2
9009,1,0,1
9058,3,2,2
9060,2,1,3
9092,3,2,5
9183,0,1,1
9241,3,2,3
9243,1,15,8
9353,0,3,3
9441,0,1,1
9523,0,2,1
9645,3,4,5
9687,0,3,3
9696,20,15,16
9858,3,2,4
9925,0,1,1
9963,0,1,1
10143,53,39,30
10197,1,0,1
10225,2,2,2
10246,1,1,2
10304,2,1,3
10318,1,2,3
10331,1,1,2
10571,1,2,2
10608,5,2,7
10778,1,3,4
10822,0,1,1
10841,2,1,3
10907,1,0,1
10923,1,0,1
10930,1,4,5
10938,5,3,7
10944,0,3,3
10957,8,4,6
10961,2,2,4
10979,0,8,6
10989,1,0,1
11013,1,0,1
11134,1,0,1
11200,1,1,2
11214,5,6,10
11254,2,3,4
11307,1,0,1
11406,4,7,8
11476,3,3,4
11501,2,0,2
11504,1,1,2
11620,6,7,10
11648,0,1,1
11676,2,2,3
11691,0,3,2
11801,2,2,3
11819,0,2,2
11864,1,0,1
11871,2,3,4
11875,1,2,2
11931,1,0,1
12067,2,3,3
12118,1,2,2
12121,1,0,1
12172,2,2,2
12182,1,2,3
12263,1,0,1
12275,6,5,7
12418,2,0,2
12643,1,3,3
12652,0,4,3
12713,1,1,2
12721,0,4,4
12743,6,6,6
12765,4,4,7
12881,0,2,1
12911,0,1,1
12928,0,2,2
13047,1,0,1
13141,0,2,2
13151,0,3,3
13164,6,3,6
13166,7,3,4
13197,0,2,2
13239,0,1,1
13281,11,5,7
13350,0,3,3
13351,4,6,7
13394,2,2,4
13421,1,1,2
13422,1,0,1
13432,0,2,2
13463,0,3,3
13507,6,5,8
13547,0,6,5
13555,3,3,4
13567,3,3,5
13588,0,1,1
13639,2,4,5
13731,1,2,2
13751,70,28,24
13780,1,0,1
13837,1,1,2
13838,1,1,2
14001,5,7,10
14003,0,3,2
14094,2,8,6
14123,1,0,1
14140,3,1,4
14258,0,3,3
14264,2,1,3
14314,0,1,1
14372,0,1,1
14766,2,0,1
14786,1,0,1
14816,0,2,2
14817,0,3,3
14829,1,0,1
14879,2,3,4
14903,0,1,1
15011,0,8,5
15023,1,0,1
15071,6,8,7
15141,0,1,1
15164,1,0,1
15257,1,2,3
15272,0,1,1
15362,1,3,3
15384,1,0,1
15421,1,0,1
15438,0,2,2
15453,0,1,1
15493,2,2,4
15516,0,1,1
15608,0,2,2
15609,1,5,4
15622,1,0,1
15630,0,0,0
15665,0,2,2
15691,9,6,8
15704,6,2,7
15760,1,1,2
15935,12,12,14
15992,1,4,5
16012,1,4,4
16017,5,6,8
16024,4,4,6
16031,3,2,4
16051,2,3,3
16092,1,2,3
16148,0,2,2
16176,1,1,2
16207,1,1,2
16231,0,1,1
16292,1,0,1
16336,1,0,1
16353,5,2,6
16355,1,6,6
16357,0,1,1
16416,3,1,3
16438,3,0,2
16503,1,0,1
16520,0,2,2
16668,12,1,4
16711,1,0,1
16714,1,1,2
16747,0,1,1
16816,16,4,7
16820,0,3,2
16847,1,1,2
16851,3,5,8
16853,0,1,1
16881,1,7,7
16961,1,0,1
16974,3,0,1
16990,4,6,7
17006,2,0,2
17007,1,2,3
17075,3,5,6
17171,1,2,3
17185,0,1,1
17187,4,2,3
17197,2,1,3
17224,3,3,3
17271,4,7,8
17293,3,3,5
17296,1,1,2
17298,0,2,2
17301,4,5,6
17664,27,16,16
17677,1,2,3
17724,1,1,2
17790,1,3,3
17882,0,3,3
17959,3,1,3
17989,0,2,1
17995,1,0,1
18027,5,3,6
18057,2,2,4
18066,1,0,1
18152,0,2,2
18233,0,1,1
18242,0,1,1
18319,2,1,3
18358,0,1,1
18400,1,5,4
18447,0,3,3
18461,2,0,2
18463,3,2,4
18483,1,1,2
18497,4,4,4
18649,0,1,1
18661,1,4,4
18669,12,12,14
18675,3,2,4
18757,3,2,4
18793,0,1,1
18815,2,0,1
18820,1,0,1
18885,0,1,1
19103,3,5,5
19154,1,0,1
19294,1,1,2
19332,1,1,2
19460,0,1,1
19517,1,0,1
19573,5,2,6
19850,0,1,1
19862,1,0,1
19984,27,13,15
19987,0,1,1
19994,1,2,2
20039,5,7,6
20075,4,1,4
20076,0,1,1
20164,0,1,1
20240,0,1,1
20252,1,2,2
20260,7,8,5
20303,1,2,3
20349,0,1,1
20357,1,0,1
20358,1,4,3
20377,2,0,2
20697,1,1,2
20753,0,1,1
20786,4,2,5
20821,0,1,1
