node,indegree,outdegree,kcore
65,5,5,6
144,2,3,4
183,9,8,10
223,0,1,1
246,2,5,7
248,3,4,5
259,4,5,4
272,0,2,2
316,2,1,2
396,5,13,11
427,0,1,1
444,9,15,14
483,6,3,6
546,3,2,3
548,1,2,2
583,1,2,3
606,6,4,8
655,1,0,1
664,6,7,10
666,1,3,3
684,1,5,5
709,0,4,3
711,1,2,2
713,21,7,9
740,0,3,2
752,1,1,2
797,1,0,1
816,2,2,4
848,2,6,5
853,3,3,5
863,6,8,11
880,1,1,2
889,2,4,5
962,1,2,3
972,1,4,4
979,4,5,7
982,1,2,3
991,4,4,5
999,0,2,2
1009,1,0,1
1019,1,5,4
1050,0,1,1
1056,3,3,6
1057,3,3,6
1173,1,3,3
1210,28,14,13
1285,1,0,1
1310,1,1,2
1333,1,1,1
1385,1,3,2
1403,1,1,2
1467,0,2,2
1513,1,0,1
1531,2,2,3
1583,5,2,6
1635,1,3,4
1677,1,1,2
1679,2,1,3
1690,7,4,6
1691,12,11,13
1693,5,5,8
1700,5,4,7
1729,8,10,11
1744,0,2,2
1832,6,5,7
1841,1,0,1
1858,0,1,1
1867,0,1,1
1868,0,3,3
1924,0,2,2
1929,0,1,1
1939,0,2,2
1960,0,1,1
2035,1,4,5
2048,11,4,5
2052,2,5,6
2061,1,1,2
2063,6,4,9
2080,1,2,2
2091,2,2,4
2102,2,2,3
2103,0,3,3
2115,1,2,3
2256,8,3,7
2296,1,2,3
2299,4,2,4
2374,0,1,1
2379,3,3,6
2398,3,3,4
2407,0,1,1
2421,0,1,1
2486,14,7,9
2487,2,2,3
2490,2,2,3
2529,0,1,1
2533,0,1,1
2549,0,2,2
2558,2,1,3
2616,0,1,1
2619,1,3,3
2646,4,5,9
2687,2,2,4
2744,0,1,1
2755,2,2,4
2765,6,5,8
2781,1,3,3
2817,1,1,1
2855,10,8,10
2873,2,0,2
2878,1,9,9
2884,3,3,3
2896,2,0,2
2948,11,7,12
2957,1,2,3
2998,0,3,2
3005,3,3,6
3058,1,0,1
3104,1,3,4
3137,1,2,3
3205,5,9,11
