node,indegree,outdegree,kcore
65,5,5,6
144,1,3,3
183,7,8,8
248,2,5,4
259,3,1,3
272,0,2,2
316,2,1,2
396,3,7,6
427,0,1,1
444,8,11,10
483,4,2,5
548,1,2,2
606,5,2,5
664,7,7,9
666,2,0,2
684,0,4,4
709,0,1,1
711,1,2,2
713,11,6,9
740,0,3,2
797,1,0,1
816,1,2,3
848,2,6,5
853,3,2,4
863,3,4,6
880,1,1,2
889,0,1,1
979,4,5,7
982,0,2,2
991,2,4,3
999,0,2,2
1009,1,0,1
1019,1,5,4
1050,0,1,1
1057,3,3,6
1173,0,3,2
1210,23,15,13
1333,0,1,1
1385,1,0,1
1513,1,0,1
1531,2,2,3
1583,5,2,6
1635,1,2,3
1677,1,1,2
1679,2,1,3
1691,11,10,11
1693,1,1,2
1700,5,4,7
1729,8,9,11
1744,0,2,2
1832,4,6,6
1841,1,0,1
1858,0,1,1
1867,0,1,1
1868,0,3,3
2048,7,4,4
2061,1,1,2
2063,2,1,3
2080,1,2,2
2091,3,2,5
2102,2,2,3
2103,0,3,3
2115,1,2,3
2256,6,0,4
2296,1,2,3
2299,5,2,5
2374,1,1,2
2379,3,3,6
2398,2,2,3
2407,0,1,1
2486,5,6,7
2490,2,2,2
2533,0,1,1
2549,0,2,2
2558,1,1,2
2616,0,1,1
2646,2,0,2
2687,2,2,4
2755,2,2,4
2765,6,5,7
2781,1,3,3
2817,0,1,1
2855,8,7,8
2873,1,0,1
2878,1,7,8
2884,0,1,1
2948,8,5,8
2957,1,2,3
2998,0,3,2
3104,1,3,4
3205,5,9,11
3215,2,1,3
3246,2,5,6
3263,3,7,5
3307,2,2,4
3349,1,0,1
3375,0,1,1
3384,3,4,3
3422,0,2,2
3436,7,6,8
3464,2,2,4
3518,0,1,1
3542,3,4,6
3599,1,1,2
3638,1,0,1
3771,2,6,7
3854,0,1,1
3873,1,0,1
3894,2,3,5
3961,1,0,1
4015,2,0,2
4024,1,1,2
4046,1,0,1
4049,3,2,5
4070,6,2,4
4080,0,1,1
4095,8,2,7
4108,1,1,2
4123,2,3,5
4179,20,13,19
4285,1,3,4
4306,40,8,11
4309,0,1,1
4330,0,5,4
4360,4,5,7
4361,6,3,5
4388,1,2,2
4439,0,1,1
4450,1,0,1
4635,2,1,3
4712,0,2,2
4736,1,3,3
4779,1,0,1
4787,0,3,3
4806,1,0,1
4818,8,4,6
4823,1,1,2
4841,0,2,2
4880,2,4,4
4907,1,1,2
4960,1,1,2
5018,1,3,4
5020,1,0,1
5084,0,3,3
5239,1,0,1
5245,3,7,9
5260,2,3,3
5261,1,0,1
5318,1,2,3
5327,9,5,7
5336,4,6,4
5354,1,0,1
5364,0,1,1
5384,2,1,3
5395,8,8,11
5399,0,6,6
5423,1,1,2
5445,0,3,2
5490,4,4,6
5503,0,2,2
5512,1,2,2
5521,1,0,1
5619,2,2,4
5629,2,0,2
5666,1,0,1
5677,2,3,5
5769,1,0,1
5783,3,7,8
5824,1,3,4
5876,6,5,6
5896,1,0,1
5897,3,8,8
5902,2,1,2
5908,1,2,2
5988,0,1,1
6018,0,2,2
6037,8,9,9
6063,0,1,1
6079,0,2,2
6091,1,1,2
6114,1,0,1
6153,2,4,5
6160,1,2,3
6176,11,12,13
6180,1,2,3
6191,1,7,7
6370,2,2,3
6375,3,2,4
6425,10,10,11
6461,3,2,4
6561,1,1,2
6583,1,0,1
6647,5,9,6
6651,1,0,1
6658,1,4,5
6674,4,4,7
6677,1,1,2
6690,0,2,2
6850,0,5,4
6890,2,2,4
6893,24,17,16
6953,0,1,1
6981,0,2,2
6985,3,4,5
7142,2,0,2
7145,0,1,1
7176,2,3,5
7190,4,8,10
7203,6,8,10
7213,0,2,2
7231,4,0,4
7252,2,3,5
7333,1,1,2
7345,3,3,6
7451,1,10,7
7460,0,2,2
7470,0,3,2
7472,1,1,2
7525,3,6,6
7566,0,1,1
7600,0,3,3
7675,2,2,3
7677,3,7,6
7690,1,3,4
7715,2,7,5
7792,2,3,5
7794,0,3,3
7859,1,1,2
7963,3,1,3
7974,0,1,1
8001,6,9,13
8027,2,3,4
8193,0,1,1
8263,7,2,6
8290,1,2,3
8353,0,4,1
8357,1,1,2
8415,2,5,6
8426,12,10,14
8430,3,3,3
8443,0,3,3
8465,1,4,4
8517,1,2,3
8529,8,12,9
8535,1,0,1
8550,0,1,1
8595,0,1,1
8651,1,3,3
8665,0,1,1
8678,1,5,4
8683,1,0,1
8704,1,4,5
8722,0,1,1
8739,2,5,4
8812,3,1,3
8822,1,2,3
8850,39,24,27
8867,0,1,1
8891,1,0,1
8915,3,3,5
8955,0,4,3
8974,1,0,1
8975,1,1,2
9009,1,0,1
9039,2,4,3
9058,3,15,10
9060,2,1,3
9092,4,4,5
9183,0,2,2
9223,0,1,1
9241,3,2,4
9243,3,16,9
9353,0,3,3
9393,1,2,3
9410,2,1,3
9441,0,1,1
9500,0,1,1
9523,3,2,5
9600,3,4,5
9625,0,3,3
9633,2,4,5
9645,14,10,8
9686,0,1,1
9687,0,3,3
9696,22,23,20
9858,3,2,5
9925,0,1,1
9930,2,4,6
9963,5,2,5
10143,100,31,28
10184,3,2,4
10197,2,1,2
10225,2,2,3
10246,1,1,2
10268,1,2,3
10304,2,2,4
10318,3,6,7
10331,3,7,8
10348,2,0,2
10372,0,1,1
10394,0,1,1
10492,0,1,1
10508,1,1,2
10571,2,3,5
10608,6,2,8
10635,3,4,5
10674,1,2,3
10749,1,0,1
10778,1,3,4
10791,0,2,1
10822,0,1,1
10841,2,3,5
10907,1,0,1
10923,1,0,1
10930,1,6,6
10938,7,1,7
10944,0,3,3
10957,10,10,10
10961,3,2,4
10979,3,10,8
10989,3,2,5
11013,2,0,2
11094,1,1,2
11102,0,1,1
11134,3,0,3
11148,0,1,1
11184,0,1,1
11200,2,1,3
11214,5,6,10
11220,0,1,1
11227,1,1,2
11252,1,4,4
11254,3,4,5
11307,1,0,1
11406,13,14,13
11476,4,4,5
11504,1,1,2
11620,6,7,10
11640,1,0,1
11641,0,1,1
11648,1,1,2
11652,1,0,1
11674,1,0,1
11676,4,5,8
11691,0,6,4
11713,3,2,4
11756,2,1,3
11800,0,1,1
11801,2,2,4
11819,1,2,3
11864,1,1,2
11871,8,6,11
11875,2,2,3
11879,2,0,2
11931,1,0,1
12019,0,1,1
12067,2,3,5
12118,1,3,3
12121,1,1,2
12172,8,11,9
12182,2,2,4
12185,0,1,1
12263,1,0,1
12270,0,2,2
