node,indegree,outdegree,kcore
65,1,0,1
183,3,2,4
606,3,1,3
709,0,1,1
863,4,1,4
979,3,1,4
991,1,0,1
1009,1,0,1
1019,1,3,3
1173,0,4,3
1210,12,6,10
1531,1,0,1
1700,2,2,4
1858,0,1,1
2048,1,0,1
2091,1,0,1
2115,0,2,2
2299,4,1,2
2374,1,0,1
2398,1,0,1
2486,2,5,4
2558,1,1,2
2755,0,3,2
2765,3,4,4
2842,0,1,1
2948,3,4,5
3205,2,7,6
3464,1,1,2
3894,2,3,5
4070,6,2,3
4179,9,5,8
4306,1,2,2
4360,0,2,1
4736,1,1,2
4818,1,3,2
4880,0,4,4
5018,0,3,3
5084,0,2,2
5327,3,3,4
5395,2,6,6
5769,1,0,1
5897,2,1,2
6037,0,1,1
6153,1,2,2
6160,0,1,1
6375,3,2,4
6425,5,3,4
6647,3,3,5
6674,1,0,1
6893,2,4,4
7142,1,0,1
7190,0,1,1
7203,2,2,4
7231,2,0,2
7333,0,1,1
7345,1,0,1
7451,1,3,3
8001,1,0,1
8263,1,0,1
8415,1,4,3
8426,1,0,1
8430,2,2,2
8517,0,1,1
8529,1,0,1
8683,1,0,1
8704,1,1,2
8812,1,0,1
8850,8,10,9
8915,1,1,2
8974,1,0,1
9058,0,1,1
9060,1,0,1
9092,3,2,4
9241,3,2,3
9243,1,13,7
9441,0,1,1
9645,2,2,4
9696,8,10,8
9858,1,0,1
10143,31,31,22
10304,0,1,1
10318,0,2,2
10331,0,1,1
10571,1,2,2
10907,1,0,1
10923,1,0,1
10938,2,1,3
10957,4,1,4
10961,0,1,1
10979,0,8,5
11134,1,0,1
11200,1,1,2
11254,1,1,2
11406,2,3,4
11648,0,1,1
11676,0,1,1
11801,1,1,2
12118,1,2,2
12172,0,1,1
12275,3,4,6
12743,4,6,6
13164,2,0,2
13166,4,2,3
13197,0,2,1
13281,7,5,5
13351,4,6,7
13421,1,1,2
13432,0,2,2
13463,0,4,3
13507,2,0,2
13547,0,5,4
13555,1,0,1
13588,0,1,1
13639,1,1,2
13731,1,2,2
13751,42,23,18
13837,1,1,2
13838,1,0,1
14001,4,4,6
14094,2,2,4
14140,3,1,3
14258,0,3,3
14735,0,2,1
14766,2,0,1
14786,1,0,1
14816,0,1,1
14817,0,1,1
15011,0,2,2
15071,3,1,1
15141,0,1,1
15257,0,2,2
15362,1,1,2
15421,1,0,1
15493,0,1,1
15516,1,1,2
15609,0,3,2
15691,5,3,6
15704,1,2,3
15935,8,10,11
15992,1,0,1
16012,0,1,1
