node,indegree,outdegree,kcore
13751,0,1,1
27781,2,2,2
29460,1,0,1
76700,0,2,2
81474,1,0,1
82497,1,0,1
101711,2,6,3
168402,5,0,1
204249,0,2,1
246370,1,2,2
271544,2,1,2
304843,1,2,2
312393,1,0,1
360229,1,0,1
384846,2,0,2
389395,0,6,1
414148,0,1,1
420036,1,0,1
421871,0,2,1
438519,1,0,1
448646,2,1,3
479851,1,0,1
517553,2,2,3
528177,2,0,2
531413,1,0,1
535212,1,0,1
554382,2,0,1
577982,0,0,0
604828,2,0,2
628248,1,2,2
633963,1,0,1
651613,1,0,1
679966,1,1,2
683124,0,1,1
693828,3,3,3
721174,1,2,2
786492,1,0,1
803946,0,2,1
842911,1,1,2
843335,1,0,1
849987,1,2,2
852485,1,1,2
852717,2,1,2
879246,2,0,1
894679,0,1,1
927440,1,0,1
943967,0,2,2
953579,0,1,1
976337,0,1,1
1016571,2,1,2
1016615,1,1,2
1068040,0,0,0
1089707,1,2,2
1143861,0,1,1
1149283,1,2,2
1165523,1,1,2
