node,indegree,outdegree,kcore
183,2,2,3
606,3,1,3
709,0,1,1
863,4,1,4
979,3,1,4
991,1,0,1
1009,1,0,1
1019,0,2,1
1173,0,4,3
1210,9,5,8
1531,1,0,1
1700,2,2,4
1858,0,1,1
2115,0,2,2
2299,4,1,2
2374,1,0,1
2486,0,5,2
2558,1,1,2
2755,0,1,1
2765,3,4,4
2842,0,1,1
2948,3,4,4
3205,1,5,5
3464,1,1,2
3894,3,3,5
4070,6,2,3
4179,7,6,9
4306,0,2,2
4360,0,2,1
4736,1,1,2
4818,1,2,2
4880,0,4,4
5084,0,2,2
5327,3,3,4
5395,1,4,4
5769,1,0,1
5897,1,0,1
6153,1,0,1
6375,2,1,3
6425,5,3,4
6674,1,0,1
6893,3,4,5
7142,1,0,1
7190,0,1,1
7203,2,2,4
7231,2,0,2
7333,0,1,1
7451,0,3,2
8001,1,0,1
8263,1,0,1
8415,1,3,3
8426,1,0,1
8430,2,2,2
8517,0,1,1
8529,1,0,1
8683,1,0,1
8704,1,1,2
8812,1,0,1
8850,7,11,9
8915,0,1,1
8974,1,0,1
9060,1,0,1
9092,3,2,4
9241,3,2,3
9243,1,12,7
9441,0,1,1
9645,1,0,1
9696,7,9,7
10143,26,30,19
10331,0,1,1
10571,1,2,2
10907,1,0,1
10923,1,0,1
10938,2,1,3
10957,3,1,3
10961,0,1,1
10979,1,8,5
11134,1,0,1
11200,1,1,2
11254,1,1,2
11406,2,3,4
11648,0,1,1
11676,0,1,1
11801,0,1,1
12172,0,1,1
12275,2,4,6
12743,4,6,6
13164,1,0,1
13166,1,0,1
13197,1,0,1
13281,6,5,5
13351,5,6,8
13421,1,0,1
13432,0,2,2
13463,0,2,2
13507,2,0,2
13547,0,5,5
13555,1,0,1
13588,0,1,1
13639,1,1,2
13731,1,2,2
13751,36,19,16
13837,0,1,1
14001,4,4,6
14094,2,2,4
14140,3,1,3
14766,2,0,1
14786,1,0,1
14816,0,1,1
14817,0,1,1
15011,0,2,2
15071,3,1,1
15141,0,1,1
15257,0,2,2
15362,1,1,2
15421,1,0,1
15516,1,1,2
15609,0,2,1
15691,2,3,3
15704,1,0,1
15935,7,9,9
15992,1,0,1
16012,0,1,1
16024,0,3,3
16353,3,1,4
16355,0,3,3
16416,1,0,1
16438,2,0,1
16520,1,0,1
16668,7,0,2
16816,8,4,6
16820,0,3,1
16851,1,0,1
16881,1,2,3
16990,2,5,5
17006,1,0,1
17171,0,1,1
17197,1,0,1
17224,2,3,3
17271,1,3,3
17293,2,2,3
17301,1,1,2
17664,19,9,11
17677,1,2,3
17959,1,1,2
18027,3,2,3
18057,2,2,4
18152,0,2,2
18242,0,1,1
18400,1,3,3
18447,0,3,3
18463,1,0,1
18497,1,0,1
18661,0,4,3
18669,4,10,8
18757,2,2,4
19154,1,0,1
19294,0,1,1
19573,1,2,2
19984,15,8,10
20039,1,4,3
20075,2,1,3
20076,0,1,1
20252,1,2,2
20260,3,5,3
20303,0,1,1
20786,2,2,4
21141,2,1,3
21318,0,2,2
21465,1,0,1
21493,1,0,1
21568,1,3,2
21812,2,3,4
21886,2,2,4
21946,0,1,1
22019,1,2,3
22043,1,1,2
22104,1,1,2
22234,1,0,1
22300,1,0,1
22381,6,4,8
22385,2,1,2
22438,2,1,2
22548,0,2,1
22717,1,1,2
22768,2,0,2
22839,1,1,2
22845,20,10,12
22900,0,1,1
22929,1,1,2
23156,1,1,2
23188,9,7,9
23298,0,2,1
23705,8,0,8
23895,0,1,1
24098,0,1,1
24147,0,3,3
24170,0,2,1
24175,3,5,5
24194,0,3,3
24405,1,0,1
24591,0,1,1
24613,2,2,4
24648,1,1,2
