node,indegree,outdegree,kcore
11,0,7,6
65,5,5,6
144,2,3,4
183,9,8,9
246,2,5,7
248,3,5,4
259,3,4,4
272,0,2,2
316,2,1,2
396,3,7,6
427,0,1,1
444,8,11,10
483,6,3,6
546,1,2,2
548,1,1,2
583,0,1,1
606,6,3,7
664,7,7,9
666,0,2,2
684,1,5,5
709,0,1,1
711,1,2,2
713,17,6,8
740,0,3,2
752,1,1,2
797,1,0,1
816,2,2,4
848,2,6,5
853,3,3,5
863,5,8,11
880,1,1,2
889,0,2,2
979,4,5,7
982,0,2,2
991,2,4,3
999,0,2,2
1009,1,0,1
1019,1,5,4
1050,0,1,1
1056,1,3,4
1057,3,3,6
1173,0,3,2
1210,25,15,13
1333,0,1,1
1385,1,0,1
1467,0,2,2
1513,1,0,1
1531,2,2,3
1583,5,2,6
1635,1,3,4
1677,1,1,2
1679,2,1,3
1690,6,3,6
1691,12,9,12
1693,2,2,4
1700,5,4,7
1729,8,9,11
1744,0,2,2
1832,5,5,6
1841,1,0,1
1858,0,1,1
1867,0,1,1
1868,0,3,3
1939,0,2,2
2048,9,4,5
2052,2,5,6
2061,1,1,2
2063,5,4,9
2080,1,2,2
2091,2,2,4
2102,2,2,3
2103,0,3,3
2115,1,2,3
2256,6,0,5
2296,1,2,3
2299,5,2,5
2374,1,1,2
2379,3,3,6
2398,2,2,3
2407,0,1,1
2486,8,6,7
2490,2,2,2
2529,0,1,1
2533,0,1,1
2549,0,2,2
2558,1,1,2
2616,0,1,1
2646,4,5,9
2687,2,2,4
2755,2,2,4
2765,6,5,7
2781,1,3,3
2817,1,1,1
2855,9,7,9
2873,1,0,1
2878,1,7,8
2884,0,1,1
2948,9,6,9
2957,1,2,3
2998,0,3,2
3005,3,3,6
3104,1,3,4
3205,5,9,11
3215,2,1,3
3246,2,5,6
3263,3,7,5
3297,0,1,1
3307,2,2,4
3349,1,0,1
3375,1,1,1
3381,0,3,3
3384,3,4,3
3422,0,2,2
3436,7,6,8
3464,3,4,5
3518,0,1,1
3542,3,4,7
3599,1,1,2
3638,1,0,1
3771,2,6,7
3854,0,1,1
3894,2,3,5
3961,1,0,1
4015,3,0,2
4024,1,1,2
4046,1,0,1
4049,3,2,5
4070,6,2,4
4080,0,1,1
4095,9,2,7
4108,1,1,2
4123,2,3,5
4179,20,14,19
4285,1,4,5
4306,40,8,11
4309,0,1,1
4330,0,5,4
4360,4,5,7
4361,6,5,6
4388,1,2,2
4439,0,1,1
4450,3,8,11
4635,2,1,3
4668,0,1,1
4712,0,2,2
4736,2,3,4
4779,2,3,4
4787,0,4,4
4806,1,0,1
4818,8,5,6
4823,2,1,3
4841,0,3,3
4880,2,4,4
4907,1,1,2
4948,1,1,2
4949,3,5,7
4960,1,1,2
5018,1,3,4
5020,2,0,2
5081,0,1,1
5084,0,3,3
5239,1,0,1
5245,4,10,11
5260,2,3,3
5261,1,0,1
5318,1,2,3
5327,9,5,7
5336,4,6,4
5354,4,0,4
5364,0,1,1
5384,2,1,3
5395,8,8,12
5399,0,6,6
5403,0,1,1
5423,1,1,2
5430,0,1,1
5445,0,3,2
5448,1,1,2
5479,1,1,2
5490,6,7,8
5503,0,2,2
5507,0,1,1
5512,1,2,2
5521,1,0,1
5600,0,2,2
5619,2,2,4
5629,2,0,2
5666,1,0,1
5677,2,3,5
5769,1,0,1
5783,4,7,8
5824,1,3,4
5869,0,1,1
5876,7,6,7
5896,1,0,1
5897,3,8,8
5902,2,1,2
5908,1,2,2
5988,0,1,1
6018,0,2,2
6037,9,9,9
6063,0,1,1
6079,0,2,2
6091,1,1,2
6114,1,0,1
6132,1,1,2
6153,2,4,5
6160,1,2,3
6176,11,12,12
6180,1,2,3
6191,0,7,7
6370,2,2,3
6375,3,2,4
6425,12,10,11
6461,3,2,4
6561,1,1,2
6583,1,0,1
6647,5,9,6
6651,1,0,1
6658,1,4,5
6674,4,4,7
6677,1,1,2
6690,0,2,2
6850,0,5,4
6890,2,2,4
6893,26,17,16
6953,0,1,1
6981,0,2,2
6985,3,4,5
7081,1,1,2
7142,2,0,2
7145,0,1,1
7176,2,3,5
7190,4,8,10
7203,7,8,10
7213,0,2,2
7231,4,1,5
7252,3,3,5
7326,1,1,2
7333,2,1,2
7343,0,1,1
7345,3,3,6
7451,1,10,7
7460,0,2,2
7470,0,3,2
7472,1,3,3
7525,3,6,6
7566,0,1,1
7600,0,3,3
7675,2,2,3
7677,3,7,7
7690,1,4,4
7715,2,8,6
7792,2,3,5
7794,1,3,4
7859,1,1,2
7909,2,1,3
7963,3,1,3
7974,0,1,1
8001,9,9,14
8027,3,3,5
8193,0,1,1
8263,7,2,5
8290,1,2,3
8305,1,1,2
8353,1,4,2
8357,1,1,2
8415,2,5,6
8426,12,9,13
8427,0,1,1
8430,5,3,3
8443,0,3,3
8465,1,4,4
8517,1,2,3
8522,4,5,8
8529,8,12,9
8535,1,0,1
8550,0,1,1
8595,0,1,1
8651,1,3,3
8665,0,1,1
8678,1,5,5
8683,1,0,1
8704,1,5,6
8722,1,1,2
8739,3,6,5
8812,3,2,3
8822,1,2,3
8850,49,25,28
8867,0,1,1
8891,1,0,1
8901,1,0,1
8915,3,3,5
8955,0,4,3
8974,1,1,2
8975,1,1,2
9009,1,0,1
9039,3,4,5
9058,4,2,3
9060,2,1,3
9092,5,4,6
9183,0,2,2
9190,1,0,1
9223,0,1,1
9241,3,2,4
9243,4,16,9
9255,1,1,2
9353,0,3,3
9393,1,2,3
9410,2,1,3
9441,0,2,2
9500,0,1,1
9523,3,2,5
9600,3,4,5
9625,0,3,3
9633,3,4,5
9645,17,11,11
9686,0,1,1
9687,0,3,3
9696,23,24,20
9858,5,2,5
9925,0,1,1
9930,2,4,6
9963,5,2,5
10143,117,34,31
10184,3,2,4
10197,2,1,2
10225,2,2,3
10246,1,1,2
10268,1,2,3
10304,2,2,4
10318,3,6,7
10331,6,9,10
10348,2,0,2
10370,1,5,5
10372,0,1,1
10394,0,1,1
10492,0,1,1
10508,1,1,2
10569,1,0,1
10571,2,3,5
10608,6,2,8
10635,3,4,5
10674,1,2,3
10694,1,3,4
10749,1,0,1
10775,1,1,2
10778,1,3,4
10791,2,2,2
10822,0,1,1
10833,0,1,1
10841,2,3,5
10907,1,0,1
10923,1,0,1
10930,1,6,6
10938,7,1,7
10944,0,3,3
10957,8,10,9
10961,3,2,4
10979,3,10,8
10989,4,2,5
11000,0,1,1
11013,2,0,2
11094,1,1,2
11102,0,2,2
11134,4,0,4
11148,0,1,1
11165,1,1,2
11184,0,1,1
11200,2,1,3
11214,5,6,10
11220,0,1,1
11227,1,1,2
11252,1,4,4
11254,4,4,6
11307,1,0,1
11406,14,14,13
11476,4,4,5
11494,0,2,2
11504,1,1,2
11620,6,7,10
11640,1,0,1
11641,1,1,2
11648,1,1,2
11652,2,0,2
11674,1,0,1
11676,4,5,8
11691,0,3,2
11713,3,2,4
11756,2,1,3
11800,0,1,1
11801,2,2,4
11819,1,2,3
11864,1,1,2
11871,8,6,11
11875,2,2,3
11879,2,0,2
11883,2,3,3
11931,1,0,1
12019,1,2,2
12067,2,3,5
12118,1,3,3
12121,1,1,2
12169,0,3,3
12172,9,11,10
12182,2,2,4
12185,0,1,1
12263,1,0,1
12270,0,2,2
12275,9,6,9
12290,0,1,1
12300,1,3,3
12352,1,1,2
12418,4,2,6
12456,1,4,5
12585,1,1,2
12643,4,3,6
12652,1,8,6
12713,2,2,4
12721,1,4,5
12743,7,5,7
12765,5,5,10
12791,2,2,4
12862,0,2,2
12881,0,2,2
12911,0,4,4
12928,0,1,1
13047,3,3,4
13096,1,0,1
13141,1,2,3
13164,15,20,12
13166,22,15,13
13197,0,2,2
13208,1,0,1
13239,0,1,1
13281,15,5,9
13350,1,8,7
13351,5,6,8
13378,3,2,4
13394,3,2,3
13421,3,1,2
13422,2,1,2
13432,10,6,8
13463,4,9,8
13483,1,0,1
13507,4,5,6
13547,10,8,10
13555,14,11,13
13567,3,3,5
13588,0,1,1
13639,3,5,5
13646,0,2,2
13724,2,1,2
13731,1,2,2
13749,3,5,7
13751,109,27,32
13780,2,0,1
13816,0,2,2
13837,1,2,3
13838,3,2,3
13867,0,7,4
13985,0,1,1
14001,7,7,11
14003,0,4,2
14005,3,3,5
14094,9,35,15
14114,1,0,1
14117,6,4,7
14123,3,2,4
14130,0,3,3
14133,0,1,1
14139,0,1,1
14140,4,2,6
14149,4,4,5
14177,0,2,2
14258,0,4,4
14264,2,3,3
14293,0,11,6
14314,0,1,1
14372,0,1,1
14430,0,1,1
14445,1,1,2
14473,3,5,3
14542,1,4,5
14570,1,0,1
14586,0,2,1
14605,1,0,1
14654,2,2,2
14735,1,0,1
14766,5,2,3
14786,1,1,2
14794,1,1,2
14816,2,2,3
14817,3,7,5
14829,2,8,8
14842,0,1,1
14879,2,3,4
14903,1,3,4
14953,1,0,1
14983,4,4,6
14988,0,8,8
14999,1,2,2
15011,16,8,13
15023,1,0,1
15071,8,11,11
15104,0,2,2
15164,1,0,1
15182,1,1,2
15234,4,3,5
15249,1,3,4
15257,3,4,6
15272,1,1,2
15289,4,0,4
15362,1,4,4
15382,4,3,5
15384,1,1,1
15421,1,0,1
15438,0,2,2
15453,0,1,1
15463,1,6,6
15493,4,3,6
15516,2,3,5
15608,3,2,3
15609,9,9,10
15622,1,0,1
15665,0,2,2
15691,9,7,9
15704,4,5,7
15739,1,0,1
15751,4,12,16
15760,1,1,2
15780,1,0,1
15803,2,8,6
15807,1,0,1
15826,2,2,4
15855,2,4,6
15869,6,6,9
15895,0,2,2
15917,1,2,2
15935,17,22,20
15942,0,1,1
15980,3,6,6
15992,2,4,6
16012,2,6,6
16017,7,6,9
16024,7,4,7
16031,5,6,8
16051,2,3,3
16056,0,3,3
16092,1,2,3
16148,1,4,4
16176,1,1,2
16185,0,1,1
16205,0,2,2
16207,1,1,2
16231,0,2,1
16258,1,1,2
16265,4,5,7
16325,2,2,3
16336,2,3,5
16353,10,2,8
16355,1,10,9
16357,1,1,1
16358,0,1,1
16416,0,1,1
16438,3,2,4
16503,1,4,5
16520,0,2,2
16536,0,5,4
16539,0,1,1
16553,0,1,1
16583,1,1,2
16668,21,3,9
16709,0,1,1
16711,1,0,1
16714,1,1,2
16747,0,2,2
16776,0,2,2
16816,20,5,10
16820,4,7,5
16847,0,2,2
16851,3,5,8
16853,1,1,2
16881,3,7,9
16933,1,1,2
16938,1,1,2
16947,1,1,2
16948,1,1,2
16961,1,0,1
16972,1,0,1
16974,5,2,7
16990,6,6,8
17006,2,4,5
17007,1,2,3
17010,3,3,4
17054,2,1,2
17075,9,6,6
17092,0,1,1
17117,1,1,2
17148,1,3,3
17155,1,0,1
17171,6,5,10
17185,2,3,4
17187,5,2,3
17197,2,1,3
17224,6,4,8
17271,6,11,12
17293,3,3,6
17296,1,1,2
17298,1,2,3
17301,9,6,8
17323,3,0,3
17344,0,1,1
17432,0,1,1
17434,3,1,3
17570,2,2,4
17664,38,18,19
17677,1,2,3
17719,3,5,6
17724,1,1,2
17761,0,3,3
17790,1,4,4
17882,1,3,3
17948,2,4,5
17959,5,1,4
17971,3,0,2
17989,1,2,3
17995,3,3,4
18004,2,2,4
18025,1,2,1
18027,9,4,9
18057,6,4,7
18066,4,1,4
18073,0,3,3
18152,2,4,6
18217,1,4,4
18233,0,1,1
18242,0,1,1
18319,5,3,6
18322,1,0,1
18358,1,1,2
18380,1,1,2
18400,1,4,4
18447,4,4,4
18461,3,1,3
18463,3,3,5
18483,1,1,2
18488,0,1,1
18497,4,14,11
18500,0,5,5
18561,0,3,2
18612,3,5,5
18649,0,1,1
18661,1,6,4
18669,18,12,16
18675,3,2,4
18700,12,17,24
18756,1,0,1
18757,3,2,4
18793,1,1,2
18803,2,0,2
18815,2,0,1
18820,2,9,8
18833,2,2,4
18879,1,1,2
18885,1,1,2
19044,1,0,1
19103,3,6,7
19154,4,5,8
19166,0,2,1
19270,1,1,2
19294,3,6,6
19332,1,1,2
19392,4,5,8
19400,0,2,2
19441,0,1,1
19450,2,1,2
19460,0,1,1
19517,1,1,2
19573,6,2,6
19659,1,1,2
19806,0,1,1
19862,2,1,2
19976,1,1,2
19984,50,28,21
19987,0,2,2
19994,2,3,3
20008,1,3,3
20036,0,1,1
20039,6,4,7
20071,0,1,1
20075,5,0,5
20076,2,1,3
20125,1,1,2
20164,0,1,1
20229,0,1,1
20240,1,2,3
20252,1,3,3
20260,11,10,8
20303,4,3,4
20323,1,1,2
20342,0,2,2
20349,1,3,4
20357,1,0,1
20358,3,8,7
20377,1,0,1
20379,1,2,2
20385,0,1,1
20583,0,1,1
20697,2,2,4
20729,0,1,1
20753,1,1,2
20758,2,1,3
20786,6,4,7
20796,1,0,1
20801,1,2,2
20803,0,1,1
20821,0,1,1
20866,3,1,3
20874,3,5,6
20902,1,1,2
20970,5,28,11
21100,4,5,7
21102,1,0,1
21120,2,2,4
21125,1,1,2
21141,3,2,5
21167,2,2,2
21246,0,1,1
21318,3,10,8
21372,1,1,2
21381,1,0,1
21416,32,15,10
21457,0,2,2
21465,1,1,2
21493,7,2,3
21537,1,0,1
21568,7,11,11
21636,1,2,3
21637,0,1,1
21650,5,4,6
21685,7,6,9
21686,0,1,1
21740,0,1,1
21808,0,1,1
21812,4,4,5
21817,2,4,5
21886,12,10,13
21901,3,2,4
21913,2,2,3
21946,1,4,4
21970,1,0,1
21971,32,25,25
22002,2,3,5
22019,2,8,7
22023,0,1,1
22031,1,1,2
22043,8,4,6
22104,2,3,4
22107,11,17,15
22148,1,1,2
22185,0,1,1
22190,1,0,1
22206,1,6,5
22234,5,7,10
22251,4,4,5
22300,1,1,2
22352,1,1,2
22356,2,2,3
22373,0,1,1
22381,27,12,12
22385,11,8,7
22438,4,2,4
22548,3,2,3
22569,1,1,2
22594,2,0,1
22681,2,2,3
22685,0,1,1
22717,2,1,3
22722,2,2,4
22744,1,3,4
22745,0,1,1
22748,1,0,1
22753,0,1,1
22768,1,0,1
22784,1,1,2
22801,0,1,1
22839,3,1,4
22845,44,18,19
22900,3,3,4
22929,1,4,5
22947,4,0,4
22979,1,2,2
23046,0,1,1
23055,6,5,6
23099,0,2,2
23139,0,1,1
23144,1,1,2
23156,2,1,2
23162,7,7,12
23187,1,2,3
23188,16,9,11
23298,2,6,6
23336,2,1,2
23353,0,1,1
23368,1,0,1
23369,2,2,3
23382,0,1,1
23481,0,1,1
23532,1,1,2
23608,2,1,3
23622,3,3,5
23678,2,5,4
23705,9,1,9
23718,1,1,2
23721,2,5,6
23754,0,3,3
23809,1,8,8
23819,5,3,6
23833,0,1,1
23844,1,3,3
23877,1,1,2
23895,4,2,5
23897,3,2,4
23928,2,6,5
23932,1,1,2
23943,1,2,2
23950,0,1,1
23988,0,2,2
24088,2,5,7
24098,0,1,1
24147,0,3,3
24155,2,1,2
24170,4,4,6
24175,5,7,9
24190,4,1,4
24194,0,9,7
24199,4,8,9
24262,1,3,4
24282,5,5,8
