node,indegree,outdegree,kcore
183,1,2,2
444,0,1,1
606,3,1,3
709,0,1,1
863,4,1,4
979,5,3,6
1009,1,0,1
1173,0,3,3
1210,7,5,8
1531,1,1,2
1700,2,2,4
1858,0,1,1
2299,3,1,2
2374,1,0,1
2486,0,3,2
2558,1,1,2
2755,0,1,1
2765,2,3,4
2842,0,1,1
2948,3,4,4
3205,1,5,5
3464,1,1,2
3894,3,3,5
4070,6,2,3
4179,7,5,8
4306,0,2,2
4360,0,2,1
4736,1,1,2
4818,1,2,2
4880,0,4,4
5084,0,2,2
5327,3,3,4
5395,1,4,4
5769,1,0,1
5897,1,0,1
6153,1,0,1
6375,2,1,3
6425,5,3,4
6893,2,4,4
7142,1,0,1
7190,0,1,1
7203,2,2,4
7231,2,0,2
7333,0,1,1
7451,2,2,3
8001,1,0,1
8263,1,0,1
8415,1,3,3
8426,1,0,1
8430,2,2,2
8517,0,1,1
8683,1,0,1
8704,1,0,1
8812,1,0,1
8850,7,9,8
8915,0,1,1
8974,1,0,1
9060,1,0,1
9092,3,2,4
9241,3,2,2
9243,1,12,7
9441,0,1,1
9645,1,0,1
9696,5,9,6
10143,24,30,18
10331,0,1,1
10571,1,1,1
10907,1,0,1
10923,1,0,1
10938,2,1,3
10957,3,1,3
10961,0,1,1
10979,1,8,5
11134,1,0,1
11200,1,1,2
11254,1,1,2
11406,1,3,4
11648,0,1,1
11676,0,1,1
11801,0,1,1
12172,0,1,1
12275,2,4,6
12743,3,6,6
13164,1,0,1
13197,1,0,1
13281,6,4,5
13351,5,6,8
13421,1,0,1
13432,0,3,3
13463,0,2,2
13507,2,0,2
13547,0,5,5
13555,1,0,1
13588,0,1,1
13639,1,1,2
13731,1,2,2
13751,35,20,16
13837,0,1,1
14001,4,4,6
14094,2,2,4
14140,3,1,3
14766,2,0,1
14786,1,0,1
14816,0,1,1
14817,0,1,1
15011,0,1,1
15071,3,1,1
15141,0,1,1
15257,0,2,2
15362,1,1,2
15421,1,0,1
15516,1,1,2
15609,0,2,1
15691,4,4,5
15704,1,0,1
15935,4,7,8
15992,1,0,1
16012,0,1,1
16017,0,1,1
16024,0,3,3
16353,2,1,3
16355,0,1,1
16416,1,0,1
16438,1,0,1
16520,1,0,1
16668,7,0,2
16816,8,4,6
16847,1,1,2
16851,1,0,1
16881,1,2,3
16990,2,5,5
17006,1,0,1
17171,0,1,1
17197,1,0,1
17224,1,2,2
17271,0,1,1
17293,2,2,3
17301,1,1,2
17664,14,7,10
17677,1,2,3
17959,1,1,2
18027,3,2,3
18057,2,2,4
18152,0,2,2
18242,0,1,1
18447,0,3,3
18463,2,0,1
18497,1,0,1
18669,3,9,7
18757,2,2,4
19154,1,0,1
19294,0,1,1
19573,1,2,2
19984,8,8,9
20039,1,4,3
20075,2,1,3
20076,0,1,1
20252,1,2,2
20260,3,5,3
20303,0,1,1
20786,2,2,4
21141,2,1,3
21318,0,1,1
21493,1,0,1
21568,1,3,2
21812,2,3,4
21886,2,2,4
21946,0,1,1
22019,1,2,3
22043,1,1,2
22104,1,1,2
22300,1,0,1
22381,6,4,8
22385,2,1,2
22438,2,1,2
22548,0,1,1
22717,1,1,2
22768,2,0,2
22839,1,1,2
22845,18,10,12
22900,0,1,1
22929,1,1,2
23156,1,1,2
23188,9,7,9
23298,0,1,1
23705,8,0,8
23895,0,1,1
24147,0,3,3
24170,0,2,1
24175,3,5,5
24194,0,3,3
24405,1,0,1
24591,0,1,1
24613,2,2,4
24648,1,1,2
24676,2,6,6
24872,0,1,1
24895,2,2,4
25103,0,1,1
25296,3,2,4
25593,1,0,1
25699,0,3,2
25808,1,2,3
26072,1,0,1
26078,1,2,3
26124,1,1,1
26154,2,0,2
26827,2,0,2
26957,0,2,2
27005,1,1,2
27085,1,0,1
27271,7,12,12
27384,0,1,1
27626,7,0,7
27781,41,11,16
27807,3,5,6
27819,3,3,3
27994,4,7,6
28019,1,1,2
28026,0,1,1
28115,2,7,4
28265,3,2,5
28521,5,9,4
28656,1,0,1
28755,4,2,4
28762,2,2,3
28817,2,4,6
29060,2,2,3
29208,0,3,3
29211,1,0,1
29460,39,14,15
29528,0,1,1
29533,2,0,2
29553,0,3,2
29622,0,1,1
29777,0,2,2
29948,1,1,2
30065,0,6,6
30086,1,1,1
30101,1,0,1
30173,1,1,2
30444,1,0,1
30582,3,0,3
30767,13,8,8
30957,0,2,2
30987,0,2,2
31093,0,1,1
31251,1,1,2
31264,1,0,1
31266,0,1,1
31292,0,1,1
31332,1,0,1
31520,2,1,2
31826,2,2,3
31937,2,0,2
31943,2,1,2
32006,5,4,5
32032,1,1,2
32227,0,0,0
32319,1,0,1
32354,0,1,1
32500,2,2,2
32605,0,1,1
32626,3,0,3
32647,0,2,2
32674,3,1,3
32679,0,1,1
32683,3,3,6
32706,2,2,4
32912,3,2,4
33102,0,2,2
33131,8,6,8
33143,1,0,1
33225,8,17,10
33270,4,10,7
33528,1,0,1
33598,1,0,1
33605,54,28,25
33614,1,0,1
33705,1,0,1
33728,13,11,13
33914,3,3,5
33932,1,0,1
33988,1,0,1
34019,5,3,6
34052,4,4,4
34334,1,0,1
34367,0,2,2
34462,1,1,2
34597,0,1,1
34776,3,2,5
34814,4,5,5
35122,1,0,1
35149,3,5,6
35238,4,3,5
35495,1,4,4
35500,1,0,1
35599,6,3,6
35633,1,4,5
35678,0,1,1
35679,0,1,1
35750,3,0,2
36000,1,1,2
36208,3,0,3
36260,2,3,5
36337,29,11,12
36510,0,2,2
36552,0,1,1
36584,1,2,3
36694,1,2,3
36901,1,1,2
36945,3,2,4
36953,1,1,2
37107,1,1,2
37216,4,3,5
37576,1,0,1
37601,0,1,1
37604,3,3,6
37708,1,0,1
