node,indegree,outdegree,kcore
65,4,5,5
144,1,3,3
183,6,8,7
248,2,6,5
259,2,1,3
272,0,2,2
396,3,7,6
427,0,1,1
444,6,8,10
483,3,2,4
548,1,2,2
606,5,2,5
664,2,4,6
666,2,0,2
709,0,1,1
711,1,1,2
713,10,5,8
740,0,3,2
797,1,0,1
816,1,2,3
848,2,6,5
853,3,2,4
863,3,3,6
880,1,1,2
889,0,1,1
979,4,5,7
982,0,1,1
991,2,4,3
999,0,2,2
1009,1,0,1
1019,1,5,4
1050,0,1,1
1057,3,3,6
1173,0,3,2
1210,20,15,12
1385,1,0,1
1403,1,0,1
1513,1,0,1
1531,2,1,3
1583,5,2,5
1635,1,2,3
1679,2,1,3
1691,8,9,9
1693,1,1,2
1700,5,4,6
1729,8,9,10
1744,0,2,2
1832,3,6,6
1841,1,0,1
1858,0,1,1
1867,0,1,1
1868,0,3,3
2048,6,2,3
2061,1,1,2
2063,1,0,1
2080,1,2,2
2091,3,1,4
2102,2,2,3
2103,0,4,4
2115,2,2,4
2256,6,0,4
2296,1,2,3
2299,5,2,5
2374,1,1,2
2398,2,2,3
2407,0,1,1
2486,5,6,7
2490,2,2,2
2533,0,1,1
2549,0,2,2
2558,1,1,2
2636,1,0,1
2646,2,0,2
2687,2,3,5
2755,2,2,4
2765,6,5,7
2781,1,3,3
2817,0,1,1
2855,6,5,7
2873,1,0,1
2878,1,7,8
2884,0,1,1
2948,9,5,9
2998,0,3,2
3104,1,3,4
3205,4,9,10
3215,2,1,3
3263,1,7,3
3307,2,2,4
3375,0,1,1
3384,0,1,1
3436,6,6,8
3464,0,2,2
3518,0,1,1
3542,3,4,6
3638,1,0,1
3771,2,6,7
3854,0,1,1
3873,1,0,1
3894,2,3,5
3961,1,0,1
4015,2,0,2
4024,1,1,2
4046,1,0,1
4049,2,2,4
4070,6,2,3
4095,7,2,7
4123,2,3,5
4179,19,13,19
4285,1,3,4
4306,39,6,9
4309,0,1,1
4330,0,4,3
4360,4,5,7
4361,6,2,4
4388,1,2,2
4439,0,1,1
4635,2,1,3
4712,0,2,2
4736,1,3,3
4787,0,3,3
4806,1,0,1
4818,7,3,4
4880,2,4,4
4907,1,1,2
4960,1,1,2
5018,1,3,4
5020,1,0,1
5084,0,3,3
5239,1,0,1
5245,3,7,9
5260,2,3,3
5318,1,1,2
5327,9,5,7
5336,3,6,4
5364,0,1,1
5384,2,1,3
5395,7,8,10
5399,0,6,6
5423,1,1,2
5445,0,3,2
5490,3,3,4
5503,0,2,2
5512,1,2,2
5521,1,0,1
5619,2,2,4
5629,2,0,2
5666,1,0,1
5677,2,3,5
5769,1,0,1
5783,1,2,2
5824,1,3,4
5876,1,2,3
5896,1,0,1
5897,3,8,8
5902,2,1,2
5908,1,2,2
5988,0,1,1
6018,0,1,1
6037,8,6,8
6063,0,1,1
6079,0,2,2
6091,1,1,2
6114,1,0,1
6153,2,4,5
6160,1,2,3
6176,5,9,9
6180,1,2,3
6191,0,7,7
6370,2,2,3
6375,3,2,4
6425,8,10,11
6461,3,2,4
6561,0,1,1
6583,1,0,1
6647,6,6,6
6651,1,0,1
6658,1,4,5
6674,4,4,7
6677,1,1,2
6690,0,2,2
6850,0,5,4
6890,2,2,4
6893,23,17,16
6985,3,4,5
7142,2,0,2
7145,0,1,1
7176,2,3,5
7190,4,8,10
7203,6,8,9
7213,0,2,2
7231,4,0,4
7333,1,1,2
7345,2,1,3
7451,0,10,6
7460,0,2,2
7470,0,3,2
7472,1,0,1
7525,3,6,6
7566,0,1,1
7600,0,3,3
7675,2,2,3
7677,3,7,6
7690,1,2,3
7715,1,2,3
7792,0,3,3
7859,1,1,2
7963,3,1,3
7974,0,1,1
8001,5,9,13
8027,2,3,4
8193,0,1,1
8263,7,2,5
8290,0,2,2
8353,0,4,1
8357,1,1,2
8415,2,6,7
8426,7,8,12
8430,3,3,3
8443,0,3,3
8465,1,4,4
8517,0,1,1
8529,5,11,9
8535,1,0,1
8550,0,1,1
8651,1,3,3
8665,0,1,1
8678,1,5,4
8683,1,0,1
8704,1,4,4
8722,0,1,1
8739,1,0,1
8812,3,1,3
8822,1,2,3
8850,32,25,25
8867,0,1,1
8891,1,0,1
8915,3,3,5
8955,0,4,3
8974,1,0,1
8975,1,1,2
9009,1,0,1
9039,1,1,1
9058,2,1,2
9060,2,1,3
9092,3,4,5
9183,0,2,2
9223,0,1,1
9241,3,2,4
9243,2,15,8
9353,0,3,3
9393,1,2,3
9410,2,1,2
9441,0,1,1
9500,0,1,1
9523,3,2,5
9600,3,4,5
9625,0,3,3
9633,1,4,4
9645,4,5,7
9687,0,3,3
9696,23,23,20
9858,3,2,5
9925,0,1,1
9930,2,2,4
9963,5,2,5
10143,85,33,29
10184,3,2,4
10197,2,1,2
10225,2,2,3
10246,1,1,2
10268,1,2,3
10304,2,2,4
10318,3,6,6
10331,4,7,7
10348,2,0,2
10372,0,1,1
10394,0,1,1
10492,0,1,1
10508,1,0,1
10571,2,2,4
10608,6,2,8
10635,2,3,4
10674,1,2,3
10749,1,0,1
10778,1,3,4
10822,0,1,1
10841,3,3,5
10907,1,0,1
10923,1,0,1
10930,1,6,6
10938,6,4,9
10944,0,3,3
10957,9,8,8
10961,3,3,5
10979,2,10,7
10989,4,2,5
11013,2,0,2
11134,2,0,2
11184,0,1,1
11200,1,1,2
11214,5,6,10
11220,0,1,1
11254,3,4,5
11307,1,0,1
11406,9,10,11
11476,3,4,4
11504,1,1,2
11620,6,7,10
11640,1,0,1
11641,0,1,1
11648,1,1,2
11674,1,0,1
11676,4,5,7
11691,0,6,4
11713,3,2,4
11756,2,1,3
11800,0,1,1
11801,3,2,4
11819,0,2,2
11864,1,1,2
11871,8,5,10
11875,2,2,3
11879,2,0,2
11931,1,0,1
12019,0,1,1
12067,2,3,5
12118,1,2,2
12121,1,1,2
12172,8,11,9
12182,2,2,4
12185,0,1,1
12263,1,0,1
12270,0,2,2
12275,7,6,9
12300,1,3,3
12352,1,1,2
12418,3,2,5
12456,2,4,5
12643,4,3,6
12652,1,9,6
12713,2,2,4
12721,1,4,5
12743,7,6,6
12765,5,5,10
12791,1,1,2
12881,0,2,2
12911,0,1,1
12928,0,1,1
13047,3,2,3
13096,1,0,1
13141,2,2,3
13164,9,17,8
13166,20,15,11
13197,0,2,2
13239,0,1,1
13281,11,6,9
13350,1,7,7
13351,5,6,7
13378,1,0,1
13394,3,2,3
13421,2,1,2
13422,2,1,2
13432,9,6,8
13463,4,8,8
13507,4,5,6
13547,2,7,6
13555,10,11,11
13567,2,3,4
13588,0,1,1
13639,3,5,5
13724,1,1,1
13731,1,2,2
13749,1,0,1
13751,96,29,31
13780,1,0,1
13837,1,2,3
13838,2,2,3
13867,0,7,5
14001,6,7,11
14003,0,3,2
14005,3,3,5
14094,8,26,12
14114,1,0,1
14123,2,2,3
14130,0,3,3
14140,4,1,5
14177,0,2,2
14258,0,4,4
14264,1,2,2
14293,0,11,6
14314,0,1,1
14372,0,1,1
14570,1,0,1
14586,0,1,1
14605,1,0,1
14654,1,2,2
14735,1,0,1
14766,4,2,3
14786,1,1,2
14794,0,1,1
14816,0,2,2
14817,0,7,6
14829,2,8,8
14842,0,1,1
14879,2,3,4
14903,1,3,4
14988,0,8,8
14999,0,1,1
15011,14,8,13
15023,1,0,1
15071,8,10,10
15104,0,2,2
15164,1,0,1
15234,4,3,5
15249,1,3,4
15257,1,3,4
15272,1,1,2
15289,4,0,4
15362,1,4,4
15382,4,2,4
15384,1,0,1
15421,1,0,1
15438,0,2,2
15453,0,1,1
15463,0,6,5
15493,4,3,6
15516,0,1,1
15608,4,1,3
15609,6,11,9
15622,1,0,1
15665,0,2,2
15691,14,4,8
15704,4,5,7
15751,1,0,1
15760,1,1,2
15780,1,0,1
15803,1,0,1
15807,1,0,1
15826,2,2,4
15855,2,4,6
15869,6,6,9
15895,0,2,2
15935,11,16,16
15992,2,4,6
16012,2,4,4
16017,6,5,7
16024,7,4,6
16031,5,6,7
16051,2,3,3
16056,0,3,3
16092,1,2,3
16148,1,2,3
16176,1,1,2
16185,0,1,1
16207,1,1,2
16231,0,2,1
16258,1,1,2
16265,3,5,6
16325,2,2,3
16336,2,1,3
16353,8,2,8
16355,1,9,8
16357,0,1,1
16358,0,1,1
16416,0,1,1
16438,3,2,4
16503,1,4,5
16520,0,2,2
16536,0,5,4
16553,0,1,1
16668,19,3,8
16711,1,0,1
16714,1,1,2
16747,0,1,1
16776,0,3,3
16816,19,4,8
16820,0,7,5
16847,0,2,2
16851,3,5,8
16853,1,1,2
16881,3,7,9
16933,1,1,2
16948,1,1,2
16961,1,0,1
16974,4,1,5
16990,5,6,8
17006,2,0,2
17007,1,2,3
17010,3,3,4
17054,1,1,2
17075,5,5,5
17117,1,1,2
17148,1,3,3
17155,1,0,1
17171,4,5,8
17185,0,3,2
17187,4,2,3
17197,3,1,4
17224,5,3,5
17271,6,11,12
17293,3,3,5
17296,1,1,2
17298,0,2,2
17301,7,5,7
17323,3,0,3
17344,0,1,1
17434,3,1,3
17570,2,2,4
17664,30,19,19
17677,1,2,3
17719,3,5,7
17724,1,1,2
17761,0,3,3
17790,1,3,4
17882,1,3,3
17948,2,4,5
17959,4,1,3
17971,2,0,1
17989,1,2,3
17995,2,2,3
18004,2,2,4
18025,1,0,1
18027,9,4,8
18057,3,3,5
18066,4,1,4
18073,0,3,3
18152,1,4,5
18217,1,4,4
18233,0,1,1
18242,0,1,1
18319,5,3,6
18322,1,0,1
18358,0,1,1
18380,1,1,2
18400,1,4,4
18447,2,4,4
18461,3,1,3
18463,3,3,5
18483,1,1,2
18497,3,11,7
18500,1,5,5
18612,2,5,5
18649,0,1,1
18661,1,5,4
18669,13,12,14
18675,3,2,4
18756,1,0,1
18757,3,2,4
18793,1,1,2
18803,1,0,1
18815,2,0,1
18820,2,11,9
18885,1,1,2
19103,3,5,6
19154,3,3,5
19166,0,2,1
19270,1,0,1
19294,3,4,5
19332,1,1,2
19392,4,5,8
19450,0,1,1
19460,0,1,1
19517,1,1,2
19573,6,2,6
19659,1,0,1
19806,0,1,1
19862,2,1,2
19976,1,1,2
19984,44,26,20
19987,0,2,2
19994,2,3,3
20039,5,7,8
20071,0,1,1
20075,5,0,5
20076,2,1,3
20164,0,1,1
20240,1,2,3
20252,1,2,3
20260,11,9,7
20303,1,2,3
20349,1,3,4
20357,1,0,1
20358,3,8,7
20377,1,0,1
20385,0,1,1
20583,0,1,1
20697,2,1,3
20729,0,1,1
20753,0,1,1
20786,6,2,5
20796,1,0,1
20801,1,2,2
20821,0,1,1
20866,3,1,3
