node,indegree,outdegree,kcore
606,3,1,3
979,2,1,3
1173,0,2,2
1210,2,3,4
1531,0,1,1
2299,1,0,1
2948,2,4,3
4070,3,1,2
4179,5,4,5
4360,0,2,1
4818,0,1,1
5327,0,1,1
6425,2,0,2
7190,0,1,1
7203,2,2,4
8263,1,0,1
8430,2,1,1
8850,4,9,6
9092,2,0,1
10143,3,0,3
10907,1,0,1
10923,1,0,1
10938,1,0,1
11406,1,0,1
12275,2,3,5
12743,1,0,1
13281,3,3,3
13351,2,6,5
13547,0,2,2
13639,0,1,1
13751,18,6,8
14001,4,4,6
15691,2,1,1
15992,1,0,1
16353,1,2,3
16668,2,0,2
16816,1,1,1
17224,2,0,1
18057,1,1,2
18152,0,2,1
18463,1,0,1
18757,2,2,3
19154,1,0,1
20039,0,2,2
20076,0,1,1
20260,1,0,1
21886,1,0,1
22043,1,0,1
22381,3,5,6
22385,2,0,1
22768,2,0,2
22845,7,7,6
22929,1,0,1
23156,1,1,2
23188,7,2,4
23705,7,0,7
24194,0,1,1
24613,1,2,3
24872,0,1,1
25699,0,1,1
27005,1,1,2
27271,7,12,11
27626,6,0,6
27781,19,6,8
27807,2,4,5
28026,0,1,1
28265,3,2,4
28755,3,0,2
29060,1,2,2
29460,19,8,9
30582,1,0,1
30767,5,5,4
31264,1,0,1
31332,1,0,1
31520,0,1,1
31826,1,1,2
31937,2,0,2
31943,1,1,1
32006,2,3,4
32500,0,1,1
32626,2,0,2
32674,1,1,1
32683,1,0,1
32706,1,1,2
33102,1,2,2
33131,1,0,1
33270,2,2,3
33605,37,11,13
33728,4,2,4
33932,1,0,1
34019,5,0,3
34052,1,0,1
35149,2,0,2
35238,1,0,1
35599,3,3,5
35633,1,4,4
36208,2,0,2
36337,6,6,6
36496,1,0,1
36901,1,1,2
36953,0,1,1
37216,2,0,1
37601,0,1,1
37907,3,2,2
38417,0,1,1
39047,1,2,3
39191,2,1,3
39756,1,4,4
40113,2,0,2
40378,2,1,2
40495,1,2,2
40640,2,0,2
40968,0,3,3
41854,1,1,2
42181,2,3,3
42345,0,2,2
42521,1,0,1
42628,2,2,4
42645,28,8,9
42836,0,2,2
43200,2,3,3
43244,2,1,2
43636,6,4,6
45169,1,0,1
45184,0,1,1
45483,1,0,1
45769,1,0,1
46545,12,12,8
46574,3,3,4
46793,0,3,2
47116,6,2,7
47185,7,4,4
47388,0,2,2
48044,1,1,2
48087,2,1,2
48368,1,1,1
48599,6,21,9
49128,0,2,2
49174,6,7,7
49252,0,5,4
49678,0,1,1
49732,1,0,1
49933,0,1,1
49993,2,2,3
50161,0,1,1
50292,0,2,2
50378,6,0,6
50397,0,3,1
50952,2,0,2
51061,1,1,2
51351,0,1,1
51468,1,1,2
51743,1,0,1
51842,0,2,1
52345,0,2,2
52754,1,4,3
52774,3,2,3
52779,1,1,2
53138,2,2,2
54522,1,2,2
54972,0,2,2
55745,0,2,2
55765,3,3,4
56506,0,1,1
56973,10,4,6
57052,2,2,3
57447,0,1,1
57526,2,5,4
57889,1,0,1
58329,1,0,1
58411,2,0,2
58537,5,6,9
58737,7,9,10
58874,0,1,1
58922,2,3,5
59498,3,0,1
60144,0,1,1
60154,6,20,9
60241,1,2,3
60494,1,0,1
60685,1,0,1
61103,4,3,3
61137,0,3,3
61162,0,1,1
61884,1,0,1
62420,0,3,2
62471,1,0,1
62512,7,3,9
62524,3,1,2
62877,0,1,1
63047,1,3,4
63558,0,1,1
64442,1,2,2
64454,2,0,2
64531,2,2,3
64897,0,1,1
64999,1,0,1
65095,2,2,4
65216,0,4,3
